Statistical profiling result from prof/fs-extra.isolate.log, (304 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    1.0%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
      6    2.0%    2.0%  Builtin: InterpreterEntryTrampoline
      4    1.3%    1.3%  Builtin: KeyedLoadIC
      3    1.0%    1.0%  LazyCompile: ~runAsync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:12:18
      3    1.0%    1.0%  Builtin: StoreIC
      3    1.0%    1.0%  Builtin: FastNewClosure
      3    1.0%    1.0%  Builtin: Call_ReceiverIsAny
      3    1.0%    1.0%  Builtin: ArgumentsAdaptorTrampoline
      2    0.7%    0.7%  Stub: GetPropertyStub
      2    0.7%    0.7%  LazyCompile: ~nextTick internal/process/next_tick.js:96:20
      2    0.7%    0.7%  LazyCompile: *Writable.write _stream_writable.js:268:36
      2    0.7%    0.7%  Builtin: CreateTypedArray
      2    0.7%    0.7%  Builtin: CallFunction_ReceiverIsAny
      1    0.3%    0.3%  Stub: ArraySingleArgumentConstructorStub
      1    0.3%    0.3%  Script: ~<anonymous> _stream_writable.js:1:11
      1    0.3%    0.3%  LazyCompile: ~writeOrBuffer _stream_writable.js:360:23
      1    0.3%    0.3%  LazyCompile: ~writeFileSync fs.js:1165:23
      1    0.3%    0.3%  LazyCompile: ~validatePath internal/fs/utils.js:326:22
      1    0.3%    0.3%  LazyCompile: ~tryExtensions internal/modules/cjs/loader.js:208:23
      1    0.3%    0.3%  LazyCompile: ~shift internal/fixed_queue.js:76:8
      1    0.3%    0.3%  LazyCompile: ~realpathSync fs.js:1356:22
      1    0.3%    0.3%  LazyCompile: ~popAsyncIds internal/async_hooks.js:402:21
      1    0.3%    0.3%  LazyCompile: ~open fs.js:411:14
      1    0.3%    0.3%  LazyCompile: ~onCorkedFinish _stream_writable.js:660:24
      1    0.3%    0.3%  LazyCompile: ~normalizeString path.js:57:25
      1    0.3%    0.3%  LazyCompile: ~highWaterMarkFrom internal/streams/state.js:5:27
      1    0.3%    0.3%  LazyCompile: ~handleErrorFromBinding fs.js:115:32
      1    0.3%    0.3%  LazyCompile: ~fromString buffer.js:333:20
      1    0.3%    0.3%  LazyCompile: ~emit events.js:140:44
      1    0.3%    0.3%  LazyCompile: ~copyObject internal/fs/utils.js:45:20
      1    0.3%    0.3%  LazyCompile: ~clearBuffer _stream_writable.js:495:21
      1    0.3%    0.3%  LazyCompile: ~byteLength buffer.js:508:20
      1    0.3%    0.3%  LazyCompile: ~alignPool buffer.js:131:19
      1    0.3%    0.3%  LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
      1    0.3%    0.3%  LazyCompile: ~Writable _stream_writable.js:198:18
      1    0.3%    0.3%  LazyCompile: ~Readable _stream_readable.js:144:18
      1    0.3%    0.3%  LazyCompile: ~FastBuffer buffer.js:79:1
      1    0.3%    0.3%  LazyCompile: ~EventEmitter.init events.js:67:29
      1    0.3%    0.3%  LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:38:41
      1    0.3%    0.3%  LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:208:53
      1    0.3%    0.3%  LazyCompile: *write buffer.js:897:40
      1    0.3%    0.3%  LazyCompile: *runAsync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:12:18
      1    0.3%    0.3%  LazyCompile: *open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:229:17
      1    0.3%    0.3%  Builtin: StringPrototypeSlice
      1    0.3%    0.3%  Builtin: JSEntryTrampoline
      1    0.3%    0.3%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.3%    0.3%  Builtin: Call_ReceiverIsNullOrUndefined

 [C++]:
   ticks  total  nonlib   name
     86   28.3%   28.6%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     28    9.2%    9.3%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     10    3.3%    3.3%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      6    2.0%    2.0%  T _mprotect
      5    1.6%    1.7%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)
      4    1.3%    1.3%  t node::fs::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      4    1.3%    1.3%  T node::fs::NewFSReqWrap(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.7%    0.7%  t v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
      2    0.7%    0.7%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.7%    0.7%  t node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.7%    0.7%  T v8::internal::compiler::GraphTrimmer::TrimGraph()
      2    0.7%    0.7%  T v8::internal::LookupIterator::FetchValue() const
      2    0.7%    0.7%  T v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
