Statistical profiling result from prof/object-copy.isolate.log, (557 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    2.0%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     37    6.6%    6.8%  LazyCompile: *baseClone /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:2634:23
     32    5.7%    5.9%  Builtin: KeyedStoreIC_Megamorphic
     20    3.6%    3.7%  LazyCompile: *shallowCopyUnderscore /Users/danvilla/Projects/collinear/nodejs-profiling/src/object-copy.js:22:25
     17    3.1%    3.1%  Builtin: KeyedLoadIC_Megamorphic
     13    2.3%    2.4%  Builtin: GrowFastSmiOrObjectElements
     12    2.2%    2.2%  Builtin: RecordWrite
      9    1.6%    1.6%  LazyCompile: *getAllKeys /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:5871:24
      8    1.4%    1.5%  Builtin: ObjectPrototypeHasOwnProperty
      7    1.3%    1.3%  Builtin: KeyedStoreIC
      7    1.3%    1.3%  Builtin: HasProperty
      4    0.7%    0.7%  Stub: CallApiCallbackStub
      4    0.7%    0.7%  Builtin: KeyedLoadIC
      3    0.5%    0.5%  LazyCompile: *shallowCopy /Users/danvilla/Projects/collinear/nodejs-profiling/src/object-copy.js:4:15
      3    0.5%    0.5%  LazyCompile: *deepCopyLo /Users/danvilla/Projects/collinear/nodejs-profiling/src/object-copy.js:36:14
      3    0.5%    0.5%  Builtin: Typeof
      3    0.5%    0.5%  Builtin: ForInEnumerate
      3    0.5%    0.5%  Builtin: Equal
      3    0.5%    0.5%  Builtin: ArgumentsAdaptorTrampoline
      2    0.4%    0.4%  Stub: CEntryStub
      2    0.4%    0.4%  LazyCompile: ~shallowCopyUnderscore /Users/danvilla/Projects/collinear/nodejs-profiling/src/object-copy.js:22:25
      2    0.4%    0.4%  LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/underscore/underscore.js:1076:20
      2    0.4%    0.4%  LazyCompile: *initCloneArray /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:6168:28
      2    0.4%    0.4%  Builtin: StoreIC
      2    0.4%    0.4%  Builtin: ObjectPrototypeToString
      2    0.4%    0.4%  Builtin: ObjectKeys
      2    0.4%    0.4%  Builtin: LoadIC
      2    0.4%    0.4%  Builtin: InterpreterEntryTrampoline
      1    0.2%    0.2%  Script: ~runInContext /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:1420:44
      1    0.2%    0.2%  LazyCompile: ~runInThisContext vm.js:294:26
      1    0.2%    0.2%  LazyCompile: ~isPrototype /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:6398:25
