Statistical profiling result from prof/restify.isolate.log, (252 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    1.6%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
      6    2.4%    2.4%  Builtin: InterpreterEntryTrampoline
      3    1.2%    1.2%  LazyCompile: *normalizeString path.js:57:25
      2    0.8%    0.8%  LazyCompile: ~stat internal/modules/cjs/loader.js:83:14
      2    0.8%    0.8%  LazyCompile: ~dirname path.js:1269:28
      2    0.8%    0.8%  LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      1    0.4%    0.4%  Stub: StringAddStub
      1    0.4%    0.4%  Stub: CEntryStub
      1    0.4%    0.4%  Script: ~<anonymous> internal/util/types.js:1:11
      1    0.4%    0.4%  Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/qs/lib/utils.js:5:26
      1    0.4%    0.4%  Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/formidable/lib/octet_parser.js:1:11
      1    0.4%    0.4%  LazyCompile: ~realpathSync fs.js:1356:22
      1    0.4%    0.4%  LazyCompile: ~readFileSync fs.js:345:22
      1    0.4%    0.4%  LazyCompile: ~normalizeString path.js:57:25
      1    0.4%    0.4%  LazyCompile: ~nextPart fs.js:1352:31
      1    0.4%    0.4%  LazyCompile: ~debuglog util.js:267:18
      1    0.4%    0.4%  LazyCompile: ~debug util.js:277:35
      1    0.4%    0.4%  LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1    0.4%    0.4%  LazyCompile: ~DoJoin native array.js:87:16
      1    0.4%    0.4%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:359:37
      1    0.4%    0.4%  Builtin: StringPrototypeCharCodeAt
      1    0.4%    0.4%  Builtin: StoreIC_Uninitialized
      1    0.4%    0.4%  Builtin: StoreIC
      1    0.4%    0.4%  Builtin: KeyedLoadIC_Megamorphic
      1    0.4%    0.4%  Builtin: KeyedLoadIC
      1    0.4%    0.4%  Builtin: InterpreterPushArgsThenConstruct
      1    0.4%    0.4%  Builtin: CallWithSpread
      1    0.4%    0.4%  Builtin: CallFunction_ReceiverIsAny

 [C++]:
   ticks  total  nonlib   name
     87   34.5%   35.1%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     10    4.0%    4.0%  T _mprotect
      6    2.4%    2.4%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      5    2.0%    2.0%  t __enlarge
      4    1.6%    1.6%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    1.6%    1.6%  T v8::internal::Scanner::Scan()
      3    1.2%    1.2%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      3    1.2%    1.2%  t node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    1.2%    1.2%  T v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
      3    1.2%    1.2%  T _catgets
      2    0.8%    0.8%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)
      2    0.8%    0.8%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      2    0.8%    0.8%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.8%    0.8%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.8%    0.8%  t __malloc_initialize
      2    0.8%    0.8%  T v8::internal::interpreter::BytecodeArrayWriter::EmitBytecode(v8::internal::interpreter::BytecodeNode const*)
      2    0.8%    0.8%  T node::contextify::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.8%    0.8%  T _mach_vm_purgable_control
      1    0.4%    0.4%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      1    0.4%    0.4%  t void std::__1::__init_pat<char>(std::__1::money_base::pattern&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&, bool, char, char, char, char)
      1    0.4%    0.4%  t v8::internal::interpreter::InterpreterCompilationJob::~InterpreterCompilationJob()
      1    0.4%    0.4%  t v8::internal::compiler::SimplifiedOperatorGlobalCache::SimplifiedOperatorGlobalCache()
      1    0.4%    0.4%  t v8::internal::Scavenger::EvacuateShortcutCandidate(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::ConsString*, int)
