Statistical profiling result from prof/winston.isolate.log, (731 ticks, 25 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    1.4%          /usr/lib/system/libsystem_pthread.dylib
      2    0.3%          /usr/lib/system/libsystem_c.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/system/libsystem_malloc.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     11    1.5%    1.5%  Builtin: InterpreterEntryTrampoline
      7    1.0%    1.0%  Builtin: KeyedStoreIC_Megamorphic
      4    0.5%    0.6%  LazyCompile: ~logFileFormatter /Users/danvilla/Projects/collinear/nodejs-profiling/src/winston.js:3:26
      4    0.5%    0.6%  LazyCompile: ~Writable.write _stream_writable.js:268:36
      4    0.5%    0.6%  LazyCompile: *clone /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/common.js:100:15
      4    0.5%    0.6%  Builtin: KeyedLoadIC
      4    0.5%    0.6%  Builtin: CallFunction_ReceiverIsAny
      3    0.4%    0.4%  Stub: StringAddStub
      3    0.4%    0.4%  LazyCompile: ~write buffer.js:897:40
      3    0.4%    0.4%  LazyCompile: ~target.(anonymous function) /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/common.js:51:30
      3    0.4%    0.4%  LazyCompile: ~byteLength buffer.js:508:20
      3    0.4%    0.4%  LazyCompile: ~Logger.log /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/logger.js:109:33
      3    0.4%    0.4%  LazyCompile: ~File._write /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/transports/file.js:200:33
      3    0.4%    0.4%  LazyCompile: *exports.log /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/common.js:142:24
      3    0.4%    0.4%  Builtin: StoreIC
      3    0.4%    0.4%  Builtin: Call_ReceiverIsAny
      2    0.3%    0.3%  LazyCompile: ~exports.serialize /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/common.js:321:30
      2    0.3%    0.3%  LazyCompile: ~File.open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/transports/file.js:369:32
      2    0.3%    0.3%  LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/winston/lib/winston/transports/file.js:179:24
      2    0.3%    0.3%  LazyCompile: *writeOrBuffer _stream_writable.js:360:23
